,company name,link,position,location,deadline,condition,salary
80,(주)티빙,/zf_user/jobs/relay/view?view_type=search&rec_idx=40364317&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 마포구,~ 06/30(수),경력3년↑ 학력무관,
81,(주)싸이토젠,/zf_user/jobs/relay/view?view_type=search&rec_idx=40465758&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 송파구,~ 06/27(일),신입·경력 초대졸↑,
82,(주)큐버,/zf_user/jobs/relay/view?view_type=search&rec_idx=40285747&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,경기 성남시 분당구,~ 07/19(월),경력 2~5년 초대졸↑,
83,주식회사 엔젠바이오,/zf_user/jobs/relay/view?view_type=search&rec_idx=40456305&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 구로구,~ 06/25(금),경력 3~10년 박사,
84,(주)티몬,/zf_user/jobs/relay/view?view_type=search&rec_idx=40466172&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 강남구,~ 06/27(일),경력3년↑ 대졸↑,
85,(주)에이치알그룹,/zf_user/jobs/relay/view?view_type=search&rec_idx=40467755&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 서초구,~ 07/14(수),경력무관 대졸↑,
86,(주)베가스,/zf_user/jobs/relay/view?view_type=search&rec_idx=40475445&location=ts&searchword=R&searchType=search&paid_fl=n,정규직·전문연구요원,서울 중구,상시채용,신입·경력 석사↑,
87,(주)더블유게임즈,/zf_user/jobs/relay/view?view_type=search&rec_idx=40501189&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 강남구,채용시,경력무관 학력무관,
88,(주)이엠맵정보,/zf_user/jobs/relay/view?view_type=search&rec_idx=39959594&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,경북 구미시,상시채용,경력무관 대졸↑,
89,(주)자이냅스,/zf_user/jobs/relay/view?view_type=search&rec_idx=40380300&location=ts&searchword=R&searchType=search&paid_fl=n,전문연구요원·병역특례,서울 강남구,~ 07/31(토),경력무관 석사↑,
90,(주)뤼드코리아,/zf_user/jobs/relay/view?view_type=search&rec_idx=40487335&location=ts&searchword=R&searchType=search&paid_fl=n,계약직·파견직,서울 영등포구,~ 07/16(금),신입·경력 대졸↑,"3,200~3,400"
91,(주)엔디소프트,/zf_user/jobs/relay/view?view_type=search&rec_idx=40497965&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,부산 해운대구,~ 08/16(월),경력무관 학력무관,
92,(주)데이터마케팅코리아,/zf_user/jobs/relay/view?view_type=search&rec_idx=40209776&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 강남구,~ 07/09(금),경력3년↑ 대졸↑,
93,(주)레드테이블,/zf_user/jobs/relay/view?view_type=search&rec_idx=40182236&location=ts&searchword=R&searchType=search&paid_fl=n,계약직,서울 중구,~ 06/30(수),경력무관 학력무관,200 만원
94,㈜에이치알맨파워그룹,/zf_user/jobs/relay/view?view_type=search&rec_idx=40450630&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 송파구,~ 07/11(일),경력 3~13년 대졸↑,
95,(주)소셜빈,/zf_user/jobs/relay/view?view_type=search&rec_idx=40476539&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 강남구,~ 06/30(수),경력3년↑ 대졸↑,
96,빅테크플러스(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40498646&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 강남구,~ 08/16(월),경력무관 대졸↑,"3,200~3,400"
97,(주)스튜디오갈릴레이,/zf_user/jobs/relay/view?view_type=search&rec_idx=40207836&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,경기 용인시 수지구,~ 07/09(금),경력무관 대졸↑,
98,(주)리비,/zf_user/jobs/relay/view?view_type=search&rec_idx=40294997&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 중구,~ 07/20(화),경력무관 학력무관,
99,(주)빅트리,/zf_user/jobs/relay/view?view_type=search&rec_idx=40403765&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 중구,~ 06/30(수),경력무관 학력무관,
100,(주)데이터누리,/zf_user/jobs/relay/view?view_type=search&rec_idx=40441446&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 강서구,~ 08/09(월),경력2년↑ 초대졸↑,
101,(주)비비파트너스,/zf_user/jobs/relay/view?view_type=search&rec_idx=40512472&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,경기 성남시 분당구,~ 07/19(월),경력7년↑ 대졸↑,
102,(주)비비파트너스,/zf_user/jobs/relay/view?view_type=search&rec_idx=40512476&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,경기 성남시 분당구,~ 07/19(월),경력7년↑ 대졸↑,
103,(주)씨티아이랩,/zf_user/jobs/relay/view?view_type=search&rec_idx=40225765&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 서초구,~ 07/11(일),경력2년↑ 학력무관,
104,(주)두플,/zf_user/jobs/relay/view?view_type=search&rec_idx=40314898&location=ts&searchword=R&searchType=search&paid_fl=n,정규직·파견직 (정규직 전환가능),경기 성남시 분당구,~ 06/24(목),신입 학력무관,
105,(주)광주인공지능센터,/zf_user/jobs/relay/view?view_type=search&rec_idx=40367028&location=ts&searchword=R&searchType=search&paid_fl=n,계약직,광주 동구,~ 07/04(일),경력3년↑ 대졸↑,
106,온리원파트너스(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40407113&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 강남구,~ 06/27(일),경력 7~15년 대졸↑,
107,(주)광주인공지능센터,/zf_user/jobs/relay/view?view_type=search&rec_idx=40428109&location=ts&searchword=R&searchType=search&paid_fl=n,정규직·계약직,광주 동구,오늘마감,신입·경력 대졸↑,
108,(주)헬로서치,/zf_user/jobs/relay/view?view_type=search&rec_idx=40499397&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 강남구,채용시,경력 3~6년 대졸↑,
109,HR컨설팅(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40506150&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 영등포구,~ 07/18(일),경력5년↑ 대졸↑,
110,(주)스포카,/zf_user/jobs/relay/view?view_type=search&rec_idx=40145697&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 강남구,상시채용,경력 3~15년 학력무관,
111,(주)엠브이텍,/zf_user/jobs/relay/view?view_type=search&rec_idx=40085120&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,경기 안양시 동안구,내일마감,경력무관 학력무관,
112,(주)매스프레소,/zf_user/jobs/relay/view?view_type=search&rec_idx=40137955&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 강남구,상시채용,경력 1~15년 학력무관,
113,지식시스템㈜ KSTEC Inc.,/zf_user/jobs/relay/view?view_type=search&rec_idx=40368530&location=ts&searchword=R&searchType=search&paid_fl=n,정규직·인턴직,경기 성남시 분당구,~ 06/30(수),신입·경력 대졸↑,
114,에이치알유니버스,/zf_user/jobs/relay/view?view_type=search&rec_idx=40461606&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,인천 연수구,~ 06/28(월),경력3년↑ 대졸↑,
115,엔터웨이파트너스,/zf_user/jobs/relay/view?view_type=search&rec_idx=40500762&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 강남구,~ 07/17(토),경력 7~10년 대졸↑,
116,줌인터넷(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40186463&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 서초구,~ 07/05(월),경력 2~10년 학력무관,
117,주식회사 뷰이,/zf_user/jobs/relay/view?view_type=search&rec_idx=40348830&location=ts&searchword=R&searchType=search&paid_fl=n,정규직·계약직,서울 서초구,~ 07/27(화),경력무관 대졸↑,
118,(주)비플러스랩,/zf_user/jobs/relay/view?view_type=search&rec_idx=40358970&location=ts&searchword=R&searchType=search&paid_fl=n,계약직,서울 강서구,~ 07/30(금),신입 대졸↑,
119,(주)카이팜,/zf_user/jobs/relay/view?view_type=search&rec_idx=40430612&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 서대문구,상시채용,경력무관 박사,
120,(주)카이팜,/zf_user/jobs/relay/view?view_type=search&rec_idx=40430628&location=ts&searchword=R&searchType=search&paid_fl=n,정규직,서울 서대문구,상시채용,경력무관 석사↑,
